"No.","Residence Hall","Room","Occupancy","Time"
,,,,
"(Beginning of Semester Level 10 Groups)",,,,
,,,,
1,"West Andrews ",257,1,4/2/09 6:06:42
,,,,
"(Beginning of Semester Level 9 Groups)",,,,
,,,,
2,"Drop to 113 ",,,4/2/09 6:07:34
3,"Minden ",807,1,4/2/09 6:07:52
4,"Slater Hall ",305,1,4/2/09 6:08:27
,,,,
"(Beginning of Semester Level 8 Groups)",,,,
,,,,
5,"Minden ",309,1,4/2/09 6:08:43
5,"Minden ",409,1,4/2/09 6:08:45
6,"Gregorian Quad B ","402D ",1,4/2/09 6:09:15
6,"Minden ",609,1,4/2/09 6:09:03
7,"Gregorian Quad A ",310,5,4/2/09 6:09:31
8,"Hegeman ","A101 ",3,4/2/09 6:10:05
8,"Hegeman ","B206 ",3,4/2/09 6:10:02
8,"Hegeman ","B207 ",2,4/2/09 6:10:03
9,"Wayland House ",223,1,4/2/09 6:10:33
10,"West Andrews ",303,1,4/2/09 6:10:51
11,"Minden ",709,1,4/2/09 6:11:10
12,"Slater Hall ",205,1,4/2/09 6:11:22
13,"No Show ",,,4/2/09 6:11:42
14,"Gregorian Quad A ","409A ",1,4/2/09 6:12:01
15,"Minden ",209,1,4/2/09 6:12:18
16,"Metcalf ",121,1,4/2/09 6:12:36
17,"Gregorian Quad B ","405C ",1,4/2/09 6:12:48
18,"Minden ",605,1,4/2/09 6:12:58
19,"Minden ",205,1,4/2/09 6:13:11
20,"Metcalf ",301,1,4/2/09 6:13:51
21,"Minden ",705,1,4/2/09 6:14:09
22,"Minden ",805,1,4/2/09 6:14:21
23,"No Show ",,,4/2/09 6:14:40
24,"Emery ",120,1,4/2/09 6:14:56
,,,,
"(Beginning of Semester Level 7 Groups)",,,,
,,,,
25,"West Andrews ",455,1,4/2/09 6:15:11
25,"West Andrews ",457,1,4/2/09 6:16:16
26,"No Show ",,,4/2/09 6:16:38
27,"Slater Hall ",307,1,4/2/09 6:16:47
28,"Metcalf ",114,1,4/2/09 6:17:06
29,"Slater Hall ",306,1,4/2/09 6:17:28
30,"Barbour Hall ",104,1,4/2/09 6:17:49
31,"Metcalf ",401,1,4/2/09 6:18:05
32,"Miller ",119,1,4/2/09 6:18:20
33,"Metcalf ",300,1,4/2/09 6:18:36
34,"West Andrews ",219,1,4/2/09 6:18:53
35,"Gregorian Quad B ","401C ",1,4/2/09 6:19:12
36,"East Andrews ",420,1,4/2/09 6:19:25
37,"Grad Center C ","410B ",2,4/2/09 6:19:39
38,"Metcalf ",411,1,4/2/09 6:19:56
39,"Metcalf ",304,1,4/2/09 6:20:08
40,"East Andrews ",306,1,4/2/09 6:20:23
41,"No Show ",,,4/2/09 6:20:43
42,"No Show ",,,4/2/09 6:20:57
43,"Gregorian Quad A ","408B ",1,4/2/09 6:21:11
44,"Hegeman ","E114 ",1,4/2/09 6:21:57
45,"Gregorian Quad B ","405B ",1,4/2/09 6:22:11
46,"Slater Hall ",105,1,4/2/09 6:22:26
47,"Gregorian Quad A ","410A ",1,4/2/09 6:22:40
48,"No Show ",,,4/2/09 6:23:00
49,"Minden ",812,2,4/2/09 6:23:14
50,"West Andrews ",217,1,4/2/09 6:23:34
51,"Young Orchard #4 ",330,4,4/2/09 6:23:50
52,"Gregorian Quad B ","402A ",1,4/2/09 6:24:09
53,"Wayland House ",323,1,4/2/09 6:24:34
54,"Wayland House ",322,1,4/2/09 6:24:49
55,"Gregorian Quad B ","405F ",1,4/2/09 6:25:14
56,"Gregorian Quad B ","403A ",1,4/2/09 6:25:36
57,"Slater Hall ",206,1,4/2/09 6:28:17
58,"Gregorian Quad A ",411,3,4/2/09 6:28:41
59,"Slater Hall ",106,1,4/2/09 6:28:59
60,"No Show ",,,4/2/09 6:29:20
61,"Gregorian Quad B ","401B ",1,4/2/09 6:30:00
61,"Young Orchard #2 ",310,4,4/2/09 6:29:57
